id	US-1421005	US-1421094	US-1421095	US-1420999	US-1421000	US-1421010	US-1421096	US-1421097	US-1421098	US-1421001	US-1421002	US-1421004
ENSG00000228150	0	0	0	0	0	2	0	0	0	3	1	3
ENSG00000173614	67	61	108	99	109	105.9194031	53	45	56	131.1876068	130	143
ENSG00000202415	0	0	0	0	0	2	3	1	0	0	0	1
ENSG00000265521	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	1.14E-31	5.18E-14	0	2.32E-28	0	2.080600023	0	0	0	0.812399983	0	0
ENSG00000162444	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130939	194	195	309	215	197	253	174	131	148	244	253	257
ENSG00000224340	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	1	0	0	0	0	0	1	1	1	0	1
ENSG00000201746	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054523	722.9998779	681.9998779	1178	1093.928711	1189.000122	1184	693.0001221	509	712.0001221	1291.999878	1369	1345.000122
ENSG00000264881	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264501	0	0	0	5.40E-36	0	0	0	0	0	1.69E-06	4.47E-18	0
ENSG00000142657	283	383	522	337	356	317	297	233	287	336	366	347
ENSG00000271989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251503	0	2.76060009	3.438699961	1.278300047	0	1.153800011	1.263900042	0	2.21E-36	1.441599965	0	1.730200052
ENSG00000175279	18	14.23939991	10.56130028	13.72169971	11	15.84619999	7.736100197	9	9	16.5583992	19	11.26980019
ENSG00000241563	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160049	127	136	225	193	202	186	121	74	124	297.9206848	290	292
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142655	53	39	48	50	60	47	42	24	38	73	57	66
ENSG00000243267	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130940	57	45	60	63	75	97	67	50	43	83	86	83
ENSG00000272078	2	0	3	2	1	0	1	1	0	1	3	5
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	1	1	1	0	0	0	0	0	0	0	0	0
ENSG00000215785	0	0	0	0	0	0	0	0	0	0	0	1
